Type,"Date effective from","Date no longer in force",Name,ABN,City,State,Postcode,"Provider Number","Other relevant info","Registration Groups","Relevant information"
"ER - Compliance notice",2026-01-30T06:00:00,,"Mackillop Home Care Pty Ltd, t/a MACKILLOP HOME CARE PTY LTD",57657157536,Rosebery,NSW,2018,,,,"Mackillop Home Care Pty Ltd, t/a MACKILLOP HOME CARE PTY LTD is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Mackillop Home Care Pty Ltd, t/a MACKILLOP HOME CARE PTY LTD is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Mackillop Home Care Pty Ltd, t/a MACKILLOP HOME CARE PTY LTD, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"Bridgecore Development Pty Ltd, t/a BRIDGECORE DEVELOPMENT PTY LTD",83663574025,Rhodes,NSW,2138,,,,"Bridgecore Development Pty Ltd, t/a BRIDGECORE DEVELOPMENT PTY LTD is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Bridgecore Development Pty Ltd, t/a BRIDGECORE DEVELOPMENT PTY LTD is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Bridgecore Development Pty Ltd, t/a BRIDGECORE DEVELOPMENT PTY LTD, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"Well Caring Home Services Pty Ltd, t/a WELL CARING HOME SERVICES PTY LTD",94658820627,Sunbury,VIC,3429,,,,"Well Caring Home Services Pty Ltd, t/a WELL CARING HOME SERVICES PTY LTD is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Well Caring Home Services Pty Ltd, t/a WELL CARING HOME SERVICES PTY LTD is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Well Caring Home Services Pty Ltd, t/a WELL CARING HOME SERVICES PTY LTD, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"Mohammed Jimiur Rahman Pathan, t/a HEJ CARE",35822181772,"Mount Barker",SA,5251,,,,"Mohammed Jimiur Rahman Pathan, t/a HEJ CARE is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Mr Mohammed Jimiur Rahman Pathan, t/a HEJ CARE is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Mr Mohammed Jimiur Rahman Pathan, t/a HEJ CARE, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"HEALTH INVESTMENT SUPPORT SERVICES PTY LTD, t/a HEALTH INVESTMENT SUPPORT SERVICES PTY LTD",29645640393,Blakeview,SA,5114,,,,"HEALTH INVESTMENT SUPPORT SERVICES PTY LTD, t/a HEALTH INVESTMENT SUPPORT SERVICES PTY LTD is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, HEALTH INVESTMENT SUPPORT SERVICES PTY LTD, t/a HEALTH INVESTMENT SUPPORT SERVICES PTY LTD is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that HEALTH INVESTMENT SUPPORT SERVICES PTY LTD, t/a HEALTH INVESTMENT SUPPORT SERVICES PTY LTD, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"NEW LIVING CARE PTY LTD, t/a NEW LIVING CARE PTY LTD",71648704812,"Hoppers Crossing",VIC,3029,,,,"NEW LIVING CARE PTY LTD, t/a NEW LIVING CARE PTY LTD is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, NEW LIVING CARE PTY LTD, t/a NEW LIVING CARE PTY LTD is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that NEW LIVING CARE PTY LTD, t/a NEW LIVING CARE PTY LTD, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"GREENWOOD CARE PTY LTD, t/a GREENWOOD CARE PTY LTD",64655110606,Smithfield,NSW,2164,,,,"GREENWOOD CARE PTY LTD, t/a GREENWOOD CARE PTY LTD is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, GREENWOOD CARE PTY LTD, t/a GREENWOOD CARE PTY LTD is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that GREENWOOD CARE PTY LTD, t/a GREENWOOD CARE PTY LTD, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"Angles Care Pty Ltd, t/a ANGLES CARE PTY LTD",42663590494,Pakenham,VIC,3810,,,,"Angles Care Pty Ltd, t/a ANGLES CARE PTY LTD is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Angles Care Pty Ltd, t/a ANGLES CARE PTY LTD is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Angles Care Pty Ltd, t/a ANGLES CARE PTY LTD, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"Simehi Mbuto, t/a jc disability services",37720213775,Dubbo,NSW,2830,,,,"Simehi Mbuto, t/a jc disability services is required to take action to address alleged non compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Mr Simehi Mbuto, t/a jc disability services is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Mr Simehi Mbuto, t/a jc disability services, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"Sydney Care Disability Pty Ltd, t/a SYDNEY CARE DISABILITY PTY LTD",47661992829,"NARELLAN VALE",NSW,2567,,,,"Sydney Care Disability Pty Ltd, t/a SYDNEY CARE DISABILITY PTY LTD is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Sydney Care Disability Pty Ltd, t/a SYDNEY CARE DISABILITY PTY LTD is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Sydney Care Disability Pty Ltd, t/a SYDNEY CARE DISABILITY PTY LTD, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"Ari's Care Solutions Pty Ltd, t/a ARI'S CARE SOLUTIONS PTY LTD",92658852656,"MEADOW HEIGHTS",VIC,3048,,,,"Ari's Care Solutions Pty Ltd, t/a ARI'S CARE SOLUTIONS PTY LTD is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Ari's Care Solutions Pty Ltd, t/a ARI'S CARE SOLUTIONS PTY LTD is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Ari's Care Solutions Pty Ltd, t/a ARI'S CARE SOLUTIONS PTY LTD, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"Serenitycare Services Australia Pty Ltd, t/a SERENITYCARE SERVICES AUSTRALIA PTY LTD",53664128303,Taylor,ACT,2913,,,,"Serenitycare Services Australia Pty Ltd, t/a SERENITYCARE SERVICES AUSTRALIA PTY LTD is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Serenitycare Services Australia Pty Ltd, t/a SERENITYCARE SERVICES AUSTRALIA PTY LTD is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Serenitycare Services Australia Pty Ltd, t/a SERENITYCARE SERVICES AUSTRALIA PTY LTD, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"Gold Star Disability Pty Ltd., t/a GOLD STAR DISABILITY PTY LTD.",34666991297,Richmond,VIC,3121,,,,"Gold Star Disability Pty Ltd., t/a GOLD STAR DISABILITY PTY LTD. is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Gold Star Disability Pty Ltd., t/a GOLD STAR DISABILITY PTY LTD. is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Gold Star Disability Pty Ltd., t/a GOLD STAR DISABILITY PTY LTD., has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"S Mururi & S Ngwenya, t/a PRISTINE COMMUNITY HEALTH SERVICES",22822668086,CAMPBELLTOWN,NSW,2560,,,,"S Mururi & S Ngwenya, t/a PRISTINE COMMUNITY HEALTH SERVICES is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, S Mururi & S Ngwenya, t/a PRISTINE COMMUNITY HEALTH SERVICES is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that S Mururi & S Ngwenya, t/a PRISTINE COMMUNITY HEALTH SERVICES, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"Protea One Care Pty Ltd, t/a PROTEA ONE CARE PTY LTD",85666044971,Douglas,QLD,4814,,,,"Protea One Care Pty Ltd, t/a PROTEA ONE CARE PTY LTD is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Protea One Care Pty Ltd, t/a PROTEA ONE CARE PTY LTD is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Protea One Care Pty Ltd, t/a PROTEA ONE CARE PTY LTD, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"Stand Bright Family and Disability Services Pty Ltd, t/a STAND BRIGHT FAMILY AND DISABILITY SERVICES PTY LTD",43658632430,Villawood,NSW,2163,,,,"Stand Bright Family and Disability Services Pty Ltd, t/a STAND BRIGHT FAMILY AND DISABILITY SERVICES PTY LTD is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Stand Bright Family and Disability Services Pty Ltd, t/a STAND BRIGHT FAMILY AND DISABILITY SERVICES PTY LTD is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Stand Bright Family and Disability Services Pty Ltd, t/a STAND BRIGHT FAMILY AND DISABILITY SERVICES PTY LTD, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"Dignify Home Services Pty Ltd, t/a DIGNIFY HOME SERVICES PTY LTD",13664002573,Mernda,VIC,3754,,,,"Dignify Home Services Pty Ltd, t/a DIGNIFY HOME SERVICES PTY LTD is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Dignify Home Services Pty Ltd, t/a DIGNIFY HOME SERVICES PTY LTD is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Dignify Home Services Pty Ltd, t/a DIGNIFY HOME SERVICES PTY LTD, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"J Cyuzuzo & B Dusabimana, t/a J&B4 SUPPORT SERVICES",90294651613,Fawkner,VIC,3060,,,,"J Cyuzuzo & B Dusabimana, t/a J&B4 SUPPORT SERVICES is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, J Cyuzuzo & B Dusabimana, t/a J&B4 SUPPORT SERVICES is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that J Cyuzuzo & B Dusabimana, t/a J&B4 SUPPORT SERVICES, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"DELIGHT CARE PTY LTD, t/a DELIGHT CARE PTY LTD",89644069241,mAIDSTONE,VIC,3012,,,,"DELIGHT CARE PTY LTD, t/a DELIGHT CARE PTY LTD is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, DELIGHT CARE PTY LTD, t/a DELIGHT CARE PTY LTD is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that DELIGHT CARE PTY LTD, t/a DELIGHT CARE PTY LTD, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"Lidija Vaupotic, t/a BEST NURSING AND CARE SERVICES",11923040645,LOGANHOLME,QLD,4129,,,,"Lidija Vaupotic, t/a BEST NURSING AND CARE SERVICES is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Mrs Lidija Vaupotic, t/a BEST NURSING AND CARE SERVICES is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Mrs Lidija Vaupotic, t/a BEST NURSING AND CARE SERVICES, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"AUSDRAGON CARE SERVICES PTY LTD, t/a AUSDRAGON CARE SERVICES PTY LTD",48645619861,"CHESTER HILL",NSW,2162,,,,"AUSDRAGON CARE SERVICES PTY LTD, t/a AUSDRAGON CARE SERVICES PTY LTD is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, AUSDRAGON CARE SERVICES PTY LTD, t/a AUSDRAGON CARE SERVICES PTY LTD is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that AUSDRAGON CARE SERVICES PTY LTD, t/a AUSDRAGON CARE SERVICES PTY LTD, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"Empowering Group WA Pty Ltd, t/a Empowering Assisted Living",50665059049,Malaga,WA,6090,,,,"Empowering Group WA Pty Ltd, t/a Empowering Assisted Living is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Empowering Group WA Pty Ltd, t/a Empowering Assisted Living is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Empowering Group WA Pty Ltd, t/a Empowering Assisted Living, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"Charika Wickramarachchi, t/a Orange Daylily",93434087602,"Mount Waverley",VIC,3149,,,,"Charika Wickramarachchi, t/a Orange Daylily is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Ms Charika Wickramarachchi, t/a Orange Daylily is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Ms Charika Wickramarachchi, t/a Orange Daylily, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"CARER KABAMBA DISABILITY SERVICES PTY LTD, t/a CARER KABAMBA DISABILITY SERVICES PTY LTD",68648796409,"ENDEAVOUR HILLS",VIC,3802,,,,"CARER KABAMBA DISABILITY SERVICES PTY LTD, t/a CARER KABAMBA DISABILITY SERVICES PTY LTD is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, CARER KABAMBA DISABILITY SERVICES PTY LTD, t/a CARER KABAMBA DISABILITY SERVICES PTY LTD is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that CARER KABAMBA DISABILITY SERVICES PTY LTD, t/a CARER KABAMBA DISABILITY SERVICES PTY LTD, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"The Trustee for Twenty20 Family Trust, t/a Abbey Grove NDIS Accommodation",59342835290,Teneriffe,QLD,4005,,,,"The Trustee for Twenty20 Family Trust, t/a Abbey Grove NDIS Accommodation is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, The Trustee for Twenty20 Family Trust, t/a Abbey Grove NDIS Accommodation is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that The Trustee for Twenty20 Family Trust, t/a Abbey Grove NDIS Accommodation, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"Sign Hear Pty Ltd, t/a Sign Hear Pty Ltd",74659119427,GYMEA,NSW,2227,,,,"Sign Hear Pty Ltd, t/a Sign Hear Pty Ltd is required to take action to address alleged non compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Sign Hear Pty Ltd, t/a Sign Hear Pty Ltd is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Sign Hear Pty Ltd, t/a Sign Hear Pty Ltd, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"Zaina Nisha, t/a HELPING TOUCH SERVICES",95887087040,HINCHINBROOK,NSW,2168,,,,"Zaina Nisha, t/a HELPING TOUCH SERVICES is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Mrs Zaina Nisha, t/a HELPING TOUCH SERVICES is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Mrs Zaina Nisha, t/a HELPING TOUCH SERVICES, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
"ER - Compliance notice",2026-01-30T06:00:00,,"Deepika, t/a Deepika",58861809522,"JORDAN SPRINGS",NSW,2747,,,,"Deepika, t/a Deepika is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Deepika, t/a Deepika is required by 20/02/2026 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 30/04/2026 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 30/01/2026 Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Deepika, t/a Deepika, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force and failing to comply with an additional condition of registration imposed under section 73G of the NDIS Act."
